 Radio 	 Ic 
 0,03 	 0,84 
 0,03 	 0,84 
 0,03 	 0,85 
 0,03 	 0,85 
 0,03 	 0,85 
 0,03 	 0,86 
 0,03 	 0,86 
 0,03 	 0,86 
 0,03 	 0,87 
 0,03 	 0,87 
 0,03 	 0,87 
 0,03 	 0,87 
 0,03 	 0,88 
 0,03 	 0,88 
 0,03 	 0,88 
 0,03 	 0,89 
 0,03 	 0,89 
 0,03 	 0,89 
 0,03 	 0,90 
 0,03 	 0,90 
 0,03 	 0,90 
 0,03 	 0,91 
 0,03 	 0,91 
 0,03 	 0,91 
 0,03 	 0,92 
 0,03 	 0,92 
 0,03 	 0,92 
 0,03 	 0,93 
 0,03 	 0,93 
 0,03 	 0,93 
 0,03 	 0,94 
 0,03 	 0,94 
 0,03 	 0,94 
 0,03 	 0,95 
 0,03 	 0,95 
 0,03 	 0,95 
 0,03 	 0,96 
 0,03 	 0,96 
 0,03 	 0,96 
 0,03 	 0,97 
 0,03 	 0,97 
 0,03 	 0,97 
 0,03 	 0,98 
 0,03 	 0,98 
 0,03 	 0,98 
 0,03 	 0,98 
 0,03 	 0,99 
 0,03 	 0,99 
 0,03 	 0,99 
 0,03 	 1,00 
 0,03 	 1,00 
 0,03 	 1,00 
 0,03 	 1,01 
 0,03 	 1,01 
 0,03 	 1,01 
 0,03 	 1,02 
 0,03 	 1,02 
 0,03 	 1,02 
 0,03 	 1,03 
 0,03 	 1,03 
 0,03 	 1,03 
 0,03 	 1,04 
 0,03 	 1,04 
 0,03 	 1,04 
 0,03 	 1,05 
 0,03 	 1,05 
 0,03 	 1,05 
 0,03 	 1,06 
 0,03 	 1,06 
 0,03 	 1,06 
 0,03 	 1,07 
 0,03 	 1,07 
 0,03 	 1,07 
 0,03 	 1,08 
 0,03 	 1,08 
 0,03 	 1,08 
 0,03 	 1,09 
 0,03 	 1,09 
 0,03 	 1,09 
 0,03 	 1,10 
 0,03 	 1,10 
 0,03 	 1,10 
 0,03 	 1,10 
 0,03 	 1,11 
 0,03 	 1,11 
 0,03 	 1,11 
 0,03 	 1,12 
 0,03 	 1,12 
 0,03 	 1,12 
 0,03 	 1,13 
 0,03 	 1,13 
 0,04 	 1,13 
 0,04 	 1,14 
 0,04 	 1,14 
 0,04 	 1,14 
 0,04 	 1,15 
 0,04 	 1,15 
 0,04 	 1,15 
 0,04 	 1,16 
 0,04 	 1,16 
 0,04 	 1,16 
 0,04 	 1,17 
 0,04 	 1,17 
 0,04 	 1,17 
 0,04 	 1,18 
 0,04 	 1,18 
 0,04 	 1,18 
 0,04 	 1,19 
 0,04 	 1,19 
 0,04 	 1,19 
 0,04 	 1,20 
 0,04 	 1,20 
 0,04 	 1,20 
 0,04 	 1,21 
 0,04 	 1,21 
 0,04 	 1,21 
 0,04 	 1,22 
 0,04 	 1,22 
 0,04 	 1,22 
 0,04 	 1,22 
 0,04 	 1,23 
 0,04 	 1,23 
 0,04 	 1,23 
 0,04 	 1,24 
 0,04 	 1,24 
 0,04 	 1,24 
 0,04 	 1,25 
 0,04 	 1,25 
 0,04 	 1,25 
 0,04 	 1,26 
 0,04 	 1,26 
 0,04 	 1,26 
 0,04 	 1,27 
 0,04 	 1,27 
 0,04 	 1,27 
 0,04 	 1,28 
 0,04 	 1,28 
 0,04 	 1,28 
 0,04 	 1,29 
 0,04 	 1,29 
 0,04 	 1,29 
 0,04 	 1,30 
 0,04 	 1,30 
 0,04 	 1,30 
 0,04 	 1,31 
 0,04 	 1,31 
 0,04 	 1,31 
 0,04 	 1,32 
 0,04 	 1,32 
 0,04 	 1,32 
 0,04 	 1,33 
 0,04 	 1,33 
 0,04 	 1,33 
 0,04 	 1,34 
 0,04 	 1,34 
 0,04 	 1,34 
 0,04 	 1,34 
 0,04 	 1,35 
 0,04 	 1,35 
 0,04 	 1,35 
 0,04 	 1,36 
 0,04 	 1,36 
 0,04 	 1,36 
 0,04 	 1,37 
 0,04 	 1,37 
 0,04 	 1,37 
 0,04 	 1,38 
 0,04 	 1,38 
 0,04 	 1,38 
 0,04 	 1,39 
 0,04 	 1,39 
 0,04 	 1,39 
 0,04 	 1,40 
 0,04 	 1,40 
 0,04 	 1,40 
 0,04 	 1,41 
 0,04 	 1,41 
 0,04 	 1,41 
 0,04 	 1,42 
 0,04 	 1,42 
 0,04 	 1,42 
 0,04 	 1,43 
 0,04 	 1,43 
 0,04 	 1,43 
 0,04 	 1,44 
 0,04 	 1,44 
 0,04 	 1,44 
 0,04 	 1,45 
 0,04 	 1,45 
 0,04 	 1,45 
 0,04 	 1,46 
 0,05 	 1,46 
 0,05 	 1,46 
 0,05 	 1,46 
 0,05 	 1,47 
 0,05 	 1,47 
 0,05 	 1,47 
 0,05 	 1,48 
 0,05 	 1,48 
 0,05 	 1,48 
 0,05 	 1,49 
 0,05 	 1,49 
 0,05 	 1,49 
 0,05 	 1,50 
 0,05 	 1,50 
 0,05 	 1,50 
 0,05 	 1,51 
 0,05 	 1,51 
 0,05 	 1,51 
 0,05 	 1,52 
 0,05 	 1,52 
 0,05 	 1,52 
 0,05 	 1,53 
 0,05 	 1,53 
 0,05 	 1,53 
 0,05 	 1,54 
 0,05 	 1,54 
 0,05 	 1,54 
 0,05 	 1,55 
 0,05 	 1,55 
 0,05 	 1,55 
 0,05 	 1,56 
 0,05 	 1,56 
 0,05 	 1,56 
 0,05 	 1,57 
 0,05 	 1,57 
 0,05 	 1,57 
 0,05 	 1,58 
 0,05 	 1,58 
 0,05 	 1,58 
 0,05 	 1,59 
 0,05 	 1,59 
 0,05 	 1,59 
 0,05 	 1,59 
 0,05 	 1,60 
 0,05 	 1,60 
 0,05 	 1,60 
 0,05 	 1,61 
 0,05 	 1,61 
 0,05 	 1,61 
 0,05 	 1,62 
 0,05 	 1,62 
 0,05 	 1,62 
 0,05 	 1,63 
 0,05 	 1,63 
 0,05 	 1,63 
 0,05 	 1,64 
 0,05 	 1,64 
 0,05 	 1,64 
 0,05 	 1,65 
 0,05 	 1,65 
 0,05 	 1,65 
 0,05 	 1,66 
 0,05 	 1,66 
 0,05 	 1,66 
 0,05 	 1,67 
 0,05 	 1,67 
 0,05 	 1,67 
 0,05 	 1,68 
 0,05 	 1,68 
 0,05 	 1,68 
 0,05 	 1,69 
 0,05 	 1,69 
 0,05 	 1,69 
 0,05 	 1,70 
 0,05 	 1,70 
 0,05 	 1,70 
 0,05 	 1,71 
 0,05 	 1,71 
 0,05 	 1,71 
 0,05 	 1,71 
 0,05 	 1,72 
 0,05 	 1,72 
 0,05 	 1,72 
 0,05 	 1,73 
 0,05 	 1,73 
 0,05 	 1,73 
 0,05 	 1,74 
 0,05 	 1,74 
 0,05 	 1,74 
 0,05 	 1,75 
 0,05 	 1,75 
 0,05 	 1,75 
 0,05 	 1,76 
 0,05 	 1,76 
 0,05 	 1,76 
 0,05 	 1,77 
 0,05 	 1,77 
 0,05 	 1,77 
 0,05 	 1,78 
 0,05 	 1,78 
 0,06 	 1,78 
 0,06 	 1,79 
 0,06 	 1,79 
 0,06 	 1,79 
 0,06 	 1,80 
 0,06 	 1,80 
 0,06 	 1,80 
 0,06 	 1,81 
 0,06 	 1,81 
 0,06 	 1,81 
 0,06 	 1,82 
 0,06 	 1,82 
 0,06 	 1,82 
 0,06 	 1,83 
 0,06 	 1,83 
 0,06 	 1,83 
 0,06 	 1,84 
 0,06 	 1,84 
 0,06 	 1,84 
 0,06 	 1,84 
 0,06 	 1,85 
 0,06 	 1,85 
 0,06 	 1,85 
 0,06 	 1,86 
 0,06 	 1,86 
 0,06 	 1,86 
 0,06 	 1,87 
 0,06 	 1,87 
 0,06 	 1,87 
 0,06 	 1,88 
 0,06 	 1,88 
 0,06 	 1,88 
 0,06 	 1,89 
 0,06 	 1,89 
 0,06 	 1,89 
 0,06 	 1,90 
 0,06 	 1,90 
 0,06 	 1,90 
 0,06 	 1,91 
 0,06 	 1,91 
 0,06 	 1,91 
 0,06 	 1,92 
 0,06 	 1,92 
 0,06 	 1,92 
 0,06 	 1,93 
 0,06 	 1,93 
 0,06 	 1,93 
 0,06 	 1,94 
 0,06 	 1,94 
 0,06 	 1,94 
 0,06 	 1,95 
 0,06 	 1,95 
 0,06 	 1,95 
 0,06 	 1,96 
 0,06 	 1,96 
 0,06 	 1,96 
 0,06 	 1,97 
 0,06 	 1,97 
 0,06 	 1,97 
 0,06 	 1,97 
 0,06 	 1,98 
 0,06 	 1,98 
 0,06 	 1,98 
 0,06 	 1,99 
 0,06 	 1,99 
 0,06 	 1,99 
 0,06 	 2,00 
 0,06 	 2,00 
 0,06 	 2,00 
 0,06 	 2,01 
 0,06 	 2,01 
 0,06 	 2,01 
 0,06 	 2,02 
 0,06 	 2,02 
 0,06 	 2,02 
 0,06 	 2,03 
 0,06 	 2,03 
 0,06 	 2,03 
 0,06 	 2,04 
 0,06 	 2,04 
 0,06 	 2,04 
 0,06 	 2,05 
 0,06 	 2,05 
 0,06 	 2,05 
 0,06 	 2,06 
 0,06 	 2,06 
 0,06 	 2,06 
 0,06 	 2,07 
 0,06 	 2,07 
 0,06 	 2,07 
 0,06 	 2,08 
 0,06 	 2,08 
 0,06 	 2,08 
 0,06 	 2,09 
 0,06 	 2,09 
 0,06 	 2,09 
 0,06 	 2,10 
 0,06 	 2,10 
 0,06 	 2,10 
 0,06 	 2,10 
 0,07 	 2,11 
 0,07 	 2,11 
 0,07 	 2,11 
 0,07 	 2,12 
 0,07 	 2,12 
 0,07 	 2,12 
 0,07 	 2,13 
 0,07 	 2,13 
 0,07 	 2,13 
 0,07 	 2,14 
 0,07 	 2,14 
 0,07 	 2,14 
 0,07 	 2,15 
 0,07 	 2,15 
 0,07 	 2,15 
 0,07 	 2,16 
 0,07 	 2,16 
 0,07 	 2,16 
 0,07 	 2,17 
 0,07 	 2,17 
 0,07 	 2,17 
 0,07 	 2,18 
 0,07 	 2,18 
 0,07 	 2,18 
 0,07 	 2,19 
 0,07 	 2,19 
 0,07 	 2,19 
 0,07 	 2,20 
 0,07 	 2,20 
 0,07 	 2,20 
 0,07 	 2,21 
 0,07 	 2,21 
 0,07 	 2,21 
 0,07 	 2,22 
 0,07 	 2,22 
 0,07 	 2,22 
 0,07 	 2,23 
 0,07 	 2,23 
 0,07 	 2,23 
 0,07 	 2,24 
 0,07 	 2,24 
 0,07 	 2,24 
 0,07 	 2,24 
 0,07 	 2,25 
 0,07 	 2,25 
 0,07 	 2,25 
 0,07 	 2,26 
 0,07 	 2,26 
 0,07 	 2,26 
 0,07 	 2,27 
 0,07 	 2,27 
 0,07 	 2,27 
 0,07 	 2,28 
 0,07 	 2,28 
 0,07 	 2,28 
 0,07 	 2,29 
 0,07 	 2,29 
 0,07 	 2,29 
 0,07 	 2,30 
 0,07 	 2,30 
 0,07 	 2,30 
 0,07 	 2,31 
 0,07 	 2,31 
 0,07 	 2,31 
 0,07 	 2,32 
 0,07 	 2,32 
 0,07 	 2,32 
 0,07 	 2,33 
 0,07 	 2,33 
 0,07 	 2,33 
 0,07 	 2,34 
 0,07 	 2,34 
 0,07 	 2,34 
 0,07 	 2,35 
 0,07 	 2,35 
 0,07 	 2,35 
 0,07 	 2,36 
 0,07 	 2,36 
 0,07 	 2,36 
 0,07 	 2,37 
 0,07 	 2,37 
 0,07 	 2,37 
 0,07 	 2,38 
 0,07 	 2,38 
 0,07 	 2,38 
 0,07 	 2,38 
 0,07 	 2,39 
 0,07 	 2,39 
 0,07 	 2,39 
 0,07 	 2,40 
 0,07 	 2,40 
 0,07 	 2,40 
 0,07 	 2,41 
 0,07 	 2,41 
 0,07 	 2,41 
 0,07 	 2,42 
 0,07 	 2,42 
 0,07 	 2,42 
 0,07 	 2,43 
 0,07 	 2,43 
 0,08 	 2,43 
 0,08 	 2,44 
 0,08 	 2,44 
 0,08 	 2,44 
 0,08 	 2,45 
 0,08 	 2,45 
 0,08 	 2,45 
 0,08 	 2,46 
 0,08 	 2,46 
 0,08 	 2,46 
 0,08 	 2,47 
 0,08 	 2,47 
 0,08 	 2,47 
 0,08 	 2,48 
 0,08 	 2,48 
 0,08 	 2,48 
 0,08 	 2,49 
 0,08 	 2,49 
 0,08 	 2,49 
 0,08 	 2,50 
 0,08 	 2,50 
 0,08 	 2,50 
 0,08 	 2,51 
 0,08 	 2,51 
 0,08 	 2,51 
 0,08 	 2,52 
 0,08 	 2,52 
 0,08 	 2,52 
 0,08 	 2,52 
 0,08 	 2,53 
 0,08 	 2,53 
 0,08 	 2,53 
 0,08 	 2,54 
 0,08 	 2,54 
 0,08 	 2,54 
 0,08 	 2,55 
 0,08 	 2,55 
 0,08 	 2,55 
 0,08 	 2,56 
 0,08 	 2,56 
 0,08 	 2,56 
 0,08 	 2,57 
 0,08 	 2,57 
 0,08 	 2,57 
 0,08 	 2,58 
 0,08 	 2,58 
 0,08 	 2,58 
 0,08 	 2,59 
 0,08 	 2,59 
 0,08 	 2,59 
 0,08 	 2,60 
 0,08 	 2,60 
 0,08 	 2,60 
 0,08 	 2,61 
 0,08 	 2,61 
 0,08 	 2,61 
 0,08 	 2,62 
 0,08 	 2,62 
 0,08 	 2,62 
 0,08 	 2,63 
 0,08 	 2,63 
 0,08 	 2,63 
 0,08 	 2,64 
 0,08 	 2,64 
 0,08 	 2,64 
 0,08 	 2,65 
 0,08 	 2,65 
 0,08 	 2,65 
 0,08 	 2,66 
 0,08 	 2,66 
 0,08 	 2,66 
 0,08 	 2,67 
 0,08 	 2,67 
 0,08 	 2,67 
 0,08 	 2,67 
 0,08 	 2,68 
 0,08 	 2,68 
 0,08 	 2,68 
 0,08 	 2,69 
 0,08 	 2,69 
 0,08 	 2,69 
 0,08 	 2,70 
 0,08 	 2,70 
 0,08 	 2,70 
 0,08 	 2,71 
 0,08 	 2,71 
 0,08 	 2,71 
 0,08 	 2,72 
 0,08 	 2,72 
 0,08 	 2,72 
 0,08 	 2,73 
 0,08 	 2,73 
 0,08 	 2,73 
 0,08 	 2,74 
 0,08 	 2,74 
 0,08 	 2,74 
 0,08 	 2,75 
 0,08 	 2,75 
 0,08 	 2,75 
 0,08 	 2,76 
 0,09 	 2,76 
 0,09 	 2,76 
 0,09 	 2,77 
 0,09 	 2,77 
 0,09 	 2,77 
 0,09 	 2,78 
 0,09 	 2,78 
 0,09 	 2,78 
 0,09 	 2,79 
 0,09 	 2,79 
 0,09 	 2,79 
 0,09 	 2,80 
 0,09 	 2,80 
 0,09 	 2,80 
 0,09 	 2,81 
 0,09 	 2,81 
 0,09 	 2,81 
 0,09 	 2,82 
 0,09 	 2,82 
 0,09 	 2,82 
 0,09 	 2,82 
 0,09 	 2,83 
 0,09 	 2,83 
 0,09 	 2,83 
 0,09 	 2,84 
 0,09 	 2,84 
 0,09 	 2,84 
 0,09 	 2,85 
 0,09 	 2,85 
 0,09 	 2,85 
 0,09 	 2,86 
 0,09 	 2,86 
 0,09 	 2,86 
 0,09 	 2,87 
 0,09 	 2,87 
 0,09 	 2,87 
 0,09 	 2,88 
 0,09 	 2,88 
 0,09 	 2,88 
 0,09 	 2,89 
 0,09 	 2,89 
 0,09 	 2,89 
 0,09 	 2,90 
 0,09 	 2,90 
 0,09 	 2,90 
 0,09 	 2,91 
 0,09 	 2,91 
 0,09 	 2,91 
 0,09 	 2,92 
 0,09 	 2,92 
 0,09 	 2,92 
 0,09 	 2,93 
 0,09 	 2,93 
 0,09 	 2,93 
 0,09 	 2,94 
 0,09 	 2,94 
 0,09 	 2,94 
 0,09 	 2,95 
 0,09 	 2,95 
 0,09 	 2,95 
 0,09 	 2,96 
 0,09 	 2,96 
 0,09 	 2,96 
 0,09 	 2,97 
 0,09 	 2,97 
 0,09 	 2,97 
 0,09 	 2,97 
 0,09 	 2,98 
 0,09 	 2,98 
 0,09 	 2,98 
 0,09 	 2,99 
 0,09 	 2,99 
 0,09 	 2,99 
 0,09 	 3,00 
 0,09 	 3,00 
 0,09 	 3,00 
 0,09 	 3,01 
 0,09 	 3,01 
 0,09 	 3,01 
 0,09 	 3,02 
 0,09 	 3,02 
 0,09 	 3,02 
 0,09 	 3,03 
 0,09 	 3,03 
 0,09 	 3,03 
 0,09 	 3,04 
 0,09 	 3,04 
 0,09 	 3,04 
 0,09 	 3,05 
 0,09 	 3,05 
 0,09 	 3,05 
 0,09 	 3,06 
 0,09 	 3,06 
 0,09 	 3,06 
 0,09 	 3,07 
 0,09 	 3,07 
 0,09 	 3,07 
 0,09 	 3,08 
 0,09 	 3,08 
 0,09 	 3,08 
 0,10 	 3,09 
 0,10 	 3,09 
 0,10 	 3,09 
 0,10 	 3,10 
 0,10 	 3,10 
 0,10 	 3,10 
 0,10 	 3,11 
 0,10 	 3,11 
 0,10 	 3,11 
 0,10 	 3,12 
 0,10 	 3,12 
 0,10 	 3,12 
 0,10 	 3,13 
 0,10 	 3,13 
 0,10 	 3,13 
 0,10 	 3,14 
 0,10 	 3,14 
 0,10 	 3,14 
 0,10 	 3,14 
 0,10 	 3,15 
 0,10 	 3,15 
 0,10 	 3,15 
 0,10 	 3,16 
 0,10 	 3,16 
 0,10 	 3,16 
 0,10 	 3,17 
 0,10 	 3,17 
 0,10 	 3,17 
 0,10 	 3,18 
 0,10 	 3,18 
 0,10 	 3,18 
 0,10 	 3,19 
 0,10 	 3,19 
 0,10 	 3,19 
 0,10 	 3,20 
 0,10 	 3,20 
 0,10 	 3,20 
 0,10 	 3,21 
 0,10 	 3,21 
 0,10 	 3,21 
 0,10 	 3,22 
 0,10 	 3,22 
 0,10 	 3,22 
 0,10 	 3,23 
 0,10 	 3,23 
 0,10 	 3,23 
 0,10 	 3,24 
 0,10 	 3,24 
 0,10 	 3,24 
 0,10 	 3,25 
 0,10 	 3,25 
 0,10 	 3,25 
 0,10 	 3,26 
 0,10 	 3,26 
 0,10 	 3,26 
 0,10 	 3,27 
 0,10 	 3,27 
 0,10 	 3,27 
 0,10 	 3,28 
 0,10 	 3,28 
 0,10 	 3,28 
 0,10 	 3,29 
 0,10 	 3,29 
 0,10 	 3,29 
 0,10 	 3,30 
 0,10 	 3,30 
 0,10 	 3,30 
 0,10 	 3,31 
 0,10 	 3,31 
 0,10 	 3,31 
 0,10 	 3,31 
 0,10 	 3,32 
 0,10 	 3,32 
 0,10 	 3,32 
 0,10 	 3,33 
 0,10 	 3,33 
 0,10 	 3,33 
 0,10 	 3,34 
 0,10 	 3,34 
 0,10 	 3,34 
 0,10 	 3,35 
 0,10 	 3,35 
 0,10 	 3,35 
 0,10 	 3,36 
 0,10 	 3,36 
 0,10 	 3,36 
 0,10 	 3,37 
 0,10 	 3,37 
 0,10 	 3,37 
 0,10 	 3,38 
 0,10 	 3,38 
 0,10 	 3,38 
 0,10 	 3,39 
 0,10 	 3,39 
 0,10 	 3,39 
 0,10 	 3,40 
 0,10 	 3,40 
 0,10 	 3,40 
 0,10 	 3,41 
 0,10 	 3,41 
 0,11 	 3,41 
 0,11 	 3,42 
 0,11 	 3,42 
 0,11 	 3,42 
 0,11 	 3,43 
 0,11 	 3,43 
 0,11 	 3,43 
 0,11 	 3,44 
 0,11 	 3,44 
 0,11 	 3,44 
 0,11 	 3,45 
 0,11 	 3,45 
 0,11 	 3,45 
 0,11 	 3,46 
 0,11 	 3,46 
 0,11 	 3,46 
 0,11 	 3,47 
 0,11 	 3,47 
 0,11 	 3,47 
 0,11 	 3,48 
 0,11 	 3,48 
 0,11 	 3,48 
 0,11 	 3,49 
 0,11 	 3,49 
 0,11 	 3,49 
 0,11 	 3,49 
 0,11 	 3,50 
 0,11 	 3,50 
 0,11 	 3,50 
 0,11 	 3,51 
 0,11 	 3,51 
 0,11 	 3,51 
 0,11 	 3,52 
 0,11 	 3,52 
 0,11 	 3,52 
 0,11 	 3,53 
 0,11 	 3,53 
 0,11 	 3,53 
 0,11 	 3,54 
 0,11 	 3,54 
 0,11 	 3,54 
 0,11 	 3,55 
 0,11 	 3,55 
 0,11 	 3,55 
 0,11 	 3,56 
 0,11 	 3,56 
 0,11 	 3,56 
 0,11 	 3,57 
 0,11 	 3,57 
 0,11 	 3,57 
 0,11 	 3,58 
 0,11 	 3,58 
 0,11 	 3,58 
 0,11 	 3,59 
 0,11 	 3,59 
 0,11 	 3,59 
 0,11 	 3,60 
 0,11 	 3,60 
 0,11 	 3,60 
 0,11 	 3,61 
 0,11 	 3,61 
 0,11 	 3,61 
 0,11 	 3,62 
 0,11 	 3,62 
 0,11 	 3,62 
 0,11 	 3,63 
 0,11 	 3,63 
 0,11 	 3,63 
 0,11 	 3,64 
 0,11 	 3,64 
 0,11 	 3,64 
 0,11 	 3,65 
 0,11 	 3,65 
 0,11 	 3,65 
 0,11 	 3,66 
 0,11 	 3,66 
 0,11 	 3,66 
 0,11 	 3,67 
 0,11 	 3,67 
 0,11 	 3,67 
 0,11 	 3,68 
 0,11 	 3,68 
 0,11 	 3,68 
 0,11 	 3,69 
 0,11 	 3,69 
 0,11 	 3,69 
 0,11 	 3,69 
 0,11 	 3,70 
 0,11 	 3,70 
 0,11 	 3,70 
 0,11 	 3,71 
 0,11 	 3,71 
 0,11 	 3,71 
 0,11 	 3,72 
 0,11 	 3,72 
 0,11 	 3,72 
 0,11 	 3,73 
 0,11 	 3,73 
 0,11 	 3,73 
 0,11 	 3,74 
 0,12 	 3,74 
 0,12 	 3,74 
 0,12 	 3,75 
 0,12 	 3,75 
 0,12 	 3,75 
 0,12 	 3,76 
 0,12 	 3,76 
 0,12 	 3,76 
 0,12 	 3,77 
 0,12 	 3,77 
 0,12 	 3,77 
 0,12 	 3,78 
 0,12 	 3,78 
 0,12 	 3,78 
 0,12 	 3,79 
